Age_group,Education_gen,Occupation_gen,Relationship,Sex,Region
31-40,HighSchool,Manual Labor, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Sales, Own-child, Female,North America
60+,5Th-6Th,Service, Unmarried, Male,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Skilled Trade, Husband, Male,North America
51-60,HigherEd,Professional, Not-in-family, Female,North America
0-20,Dropout,Sales, Own-child, Female,North America
41-50,Associate,Clerical, Unmarried, Female,North America
31-40,Associate,Professional, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Unmarried, Male,North America
31-40,HighSchool,Manufacturing, Husband, Male,North America
60+,HigherEd,Professional, Not-in-family, Female,North America
21-30,1St-4Th,Manufacturing, Husband, Male,Latin America
21-30,HigherEd,, Own-child, Male,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
41-50,HighSchool,Manufacturing, Husband, Male,Latin America
31-40,HigherEd,Management, Husband, Male,North America
31-40,HighSchool,Tech-Support, Not-in-family, Male,England
41-50,HighSchool,, Not-in-family, Female,North America
41-50,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,, Unmarried, Female,North America
21-30,HighSchool,, Unmarried, Female,North America
21-30,HigherEd,Professional, Not-in-family, Male,North America
31-40,HighSchool,Tech-Support, Husband, Male,North America
41-50,HighSchool,Transport, Husband, Male,North America
41-50,HighSchool,Sales, Husband, Male,North America
31-40,HighSchool,Manufacturing, Other-relative, Female,Puerto-Rico
41-50,HigherEd,Professional, Not-in-family, Female,North America
51-60,Associate,Professional, Not-in-family, Female,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HighSchool,Professional, Unmarried, Male,North America
60+,HighSchool,Skilled Trade, Husband, Male,North America
31-40,Associate,Skilled Trade, Husband, Male,England
60+,HighSchool,, Not-in-family, Female,North America
31-40,HigherEd,Professional, Husband, Male,North America
41-50,HighSchool,Transport, Wife, Female,North America
41-50,HigherEd,Professional, Wife, Female,North America
21-30,Dropout,Skilled Trade, Husband, Male,North America
41-50,Dropout,Transport, Husband, Male,North America
51-60,Associate,, Not-in-family, Male,North America
41-50,HigherEd,Clerical, Not-in-family, Male,North America
31-40,Dropout,Manual Labor, Not-in-family, Male,North America
41-50,HighSchool,Manual Labor, Own-child, Male,Ireland
21-30,HighSchool,Clerical, Own-child, Female,Latin America
41-50,HighSchool,Clerical, Not-in-family, Female,North America
21-30,HigherEd,Management, Not-in-family, Female,North America
60+,HighSchool,Agriculture, Husband, Male,North America
21-30,HigherEd,Clerical, Own-child, Male,North America
51-60,HigherEd,Sales, Husband, Male,North America
41-50,HigherEd,Sales, Not-in-family, Male,North America
51-60,Associate,, Husband, Male,North America
21-30,HighSchool,Manufacturing, Not-in-family, Male,Ecuador
51-60,HigherEd,Professional, Unmarried, Female,Ireland
60+,10Th,Management, Husband, Male,North America
41-50,Dropout,Service, Not-in-family, Male,North America
21-30,HighSchool,Service, Own-child, Male,North America
31-40,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HigherEd,Service, Husband, Male,China
51-60,HighSchool,Manufacturing, Husband, Male,North America
21-30,HighSchool,Protective-Serv, Own-child, Male,North America
60+,HighSchool,, Not-in-family, Female,North America
0-20,HighSchool,Clerical, Own-child, Male,North America
51-60,HighSchool,Skilled Trade, Other-relative, Male,North America
41-50,HigherEd,Tech-Support, Own-child, Female,North America
31-40,HighSchool,Management, Not-in-family, Female,North America
21-30,HighSchool,Clerical, Unmarried, Female,North America
51-60,HighSchool,Service, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
31-40,10Th,Transport, Husband, Male,North America
21-30,Dropout,Skilled Trade, Husband, Male,North America
60+,HigherEd,Sales, Husband, Male,North America
0-20,HighSchool,Manufacturing, Own-child, Male,North America
21-30,HigherEd,Sales, Own-child, Female,North America
21-30,HighSchool,, Not-in-family, Male,North America
41-50,Prof-School,Professional, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HigherEd,Sales, Not-in-family, Male,
60+,HighSchool,Priv-House-Serv, Not-in-family, Female,North America
41-50,HighSchool,Manual Labor, Husband, Male,North America
51-60,Associate,Professional, Not-in-family, Female,North America
21-30,HighSchool,Clerical, Own-child, Female,North America
41-50,HighSchool,Sales, Not-in-family, Female,North America
31-40,Dropout,Manual Labor, Husband, Male,Latin America
21-30,HighSchool,Clerical, Own-child, Female,North America
31-40,HighSchool,Protective-Serv, Own-child, Male,North America
21-30,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,Manufacturing, Own-child, Male,North America
31-40,HighSchool,, Husband, Male,North America
60+,HigherEd,, Husband, Male,North America
21-30,Associate,Sales, Not-in-family, Male,North America
31-40,HighSchool,Clerical, Unmarried, Female,North America
0-20,HighSchool,, Own-child, Female,North America
31-40,Associate,Sales, Own-child, Female,North America
41-50,HighSchool,Clerical, Other-relative, Female,North America
31-40,10Th,Tech-Support, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Management, Not-in-family, Male,North America
51-60,HighSchool,Agriculture, Husband, Male,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
41-50,HighSchool,Management, Husband, Male,Greece
21-30,HighSchool,Protective-Serv, Not-in-family, Male,North America
31-40,HighSchool,Professional, Husband, Male,North America
41-50,Associate,Skilled Trade, Husband, Male,North America
21-30,Associate,Service, Not-in-family, Male,Latin America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,Prof-School,Professional, Unmarried, Male,North America
21-30,HigherEd,Management, Own-child, Female,North America
21-30,10Th,Service, Not-in-family, Female,North America
31-40,HighSchool,Transport, Own-child, Male,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,HigherEd,Management, Not-in-family, Female,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
31-40,HigherEd,Manual Labor, Wife, Female,Poland
51-60,HighSchool,Service, Not-in-family, Female,North America
0-20,HighSchool,Sales, Own-child, Female,North America
21-30,Associate,Manufacturing, Husband, Male,North America
21-30,HighSchool,Manufacturing, Other-relative, Male,North America
51-60,HighSchool,Service, Unmarried, Female,North America
51-60,HighSchool,Skilled Trade, Husband, Male,North America
21-30,Associate,Skilled Trade, Not-in-family, Male,North America
41-50,HigherEd,Sales, Husband, Male,North America
21-30,HigherEd,Professional, Not-in-family, Male,North America
31-40,HighSchool,Transport, Not-in-family, Male,North America
21-30,HigherEd,Skilled Trade, Husband, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
51-60,Prof-School,Professional, Husband, Male,Philippines
21-30,HighSchool,Manual Labor, Husband, Male,North America
31-40,Associate,Clerical, Unmarried, Female,North America
41-50,Associate,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Clerical, Own-child, Female,North America
41-50,HigherEd,Sales, Husband, Male,North America
21-30,Dropout,Sales, Own-child, Male,North America
0-20,HighSchool,Sales, Own-child, Female,North America
51-60,HighSchool,Clerical, Not-in-family, Female,North America
51-60,HighSchool,Sales, Not-in-family, Male,North America
60+,HighSchool,Sales, Husband, Male,North America
31-40,HighSchool,Service, Wife, Female,South
31-40,Dropout,Manual Labor, Not-in-family, Female,North America
21-30,Associate,Management, Own-child, Male,North America
21-30,HighSchool,Service, Unmarried, Female,North America
60+,Dropout,Manual Labor, Own-child, Male,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
31-40,HighSchool,, Unmarried, Female,North America
31-40,HigherEd,Professional, Unmarried, Female,Germany
31-40,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HigherEd,Management, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Own-child, Female,North America
51-60,HighSchool,Sales, Husband, Male,North America
0-20,HighSchool,Tech-Support, Own-child, Male,North America
31-40,HighSchool,Sales, Husband, Male,North America
0-20,HighSchool,, Own-child, Male,North America
21-30,HighSchool,Manual Labor, Own-child, Female,North America
51-60,Dropout,Skilled Trade, Husband, Male,North America
51-60,HighSchool,Service, Own-child, Female,North America
21-30,HighSchool,Skilled Trade, Unmarried, Female,North America
31-40,HighSchool,Service, Other-relative, Female,Peru
51-60,10Th,, Husband, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
21-30,HighSchool,Clerical, Own-child, Male,North America
0-20,Dropout,, Own-child, Female,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
21-30,HigherEd,Professional, Own-child, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
21-30,10Th,Manufacturing, Husband, Male,North America
31-40,HighSchool,Management, Husband, Male,North America
51-60,HighSchool,Manual Labor, Husband, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
0-20,Dropout,Manual Labor, Own-child, Male,North America
41-50,HighSchool,Transport, Husband, Male,North America
31-40,HigherEd,Skilled Trade, Unmarried, Male,North America
51-60,HighSchool,Service, Husband, Male,North America
51-60,Dropout,Transport, Husband, Male,North America
21-30,HighSchool,Manual Labor, Not-in-family, Male,North America
31-40,HighSchool,Sales, Husband, Male,North America
41-50,HighSchool,Manual Labor, Not-in-family, Male,North America
41-50,HigherEd,Sales, Not-in-family, Female,North America
51-60,Preschool,Service, Not-in-family, Male,El-Salvador
21-30,HigherEd,Sales, Not-in-family, Male,Taiwan
60+,HigherEd,, Other-relative, Female,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
41-50,HighSchool,Transport, Not-in-family, Male,North America
31-40,HighSchool,Protective-Serv, Unmarried, Female,North America
21-30,Associate,Service, Not-in-family, Female,North America
31-40,HigherEd,Clerical, Not-in-family, Female,North America
31-40,HighSchool,Professional, Husband, Male,North America
60+,Associate,Transport, Husband, Male,North America
51-60,HighSchool,Tech-Support, Own-child, Male,North America
21-30,HigherEd,Sales, Not-in-family, Male,North America
21-30,HighSchool,Transport, Husband, Male,North America
51-60,HighSchool,Clerical, Not-in-family, Female,North America
41-50,HighSchool,Clerical, Husband, Male,North America
41-50,HighSchool,Manufacturing, Husband, Male,North America
21-30,Dropout,Service, Own-child, Female,North America
21-30,HigherEd,Sales, Not-in-family, Male,North America
60+,HighSchool,Transport, Husband, Male,North America
51-60,HighSchool,Management, Husband, Male,North America
31-40,Prof-School,Professional, Husband, Male,North America
21-30,HigherEd,Professional, Own-child, Female,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
21-30,5Th-6Th,Skilled Trade, Unmarried, Male,El-Salvador
41-50,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,Agriculture, Husband, Male,North America
51-60,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Clerical, Unmarried, Female,North America
21-30,HighSchool,Clerical, Unmarried, Female,North America
41-50,HigherEd,Management, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,Germany
21-30,HighSchool,Service, Own-child, Male,North America
41-50,HighSchool,Protective-Serv, Husband, Male,North America
31-40,12Th,Manufacturing, Not-in-family, Male,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HighSchool,Management, Husband, Male,North America
51-60,HighSchool,Skilled Trade, Unmarried, Female,North America
31-40,HigherEd,Professional, Wife, Female,Iran
31-40,HighSchool,Skilled Trade, Husband, Male,North America
60+,HighSchool,, Husband, Male,North America
60+,Associate,Agriculture, Husband, Male,North America
21-30,HighSchool,Service, Own-child, Male,North America
31-40,HighSchool,Clerical, Not-in-family, Male,North America
41-50,HighSchool,Professional, Unmarried, Female,North America
21-30,HighSchool,, Own-child, Male,North America
41-50,HigherEd,Sales, Not-in-family, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
60+,Dropout,, Other-relative, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,
21-30,HighSchool,Manual Labor, Not-in-family, Male,North America
41-50,HighSchool,Priv-House-Serv, Unmarried, Female,Ecuador
21-30,HighSchool,Sales, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Own-child, Male,North America
31-40,Dropout,Skilled Trade, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Tech-Support, Unmarried, Male,North America
51-60,Associate,Service, Wife, Female,North America
21-30,Associate,Management, Wife, Female,North America
0-20,Dropout,Service, Own-child, Female,North America
31-40,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,Service, Not-in-family, Female,Vietnam
21-30,Associate,, Wife, Female,North America
51-60,10Th,Sales, Husband, Male,North America
51-60,HighSchool,Service, Unmarried, Female,Dominican-Republic
41-50,HigherEd,Tech-Support, Husband, Male,
21-30,HigherEd,Agriculture, Own-child, Female,North America
0-20,Dropout,, Own-child, Female,North America
41-50,HighSchool,Service, Not-in-family, Male,North America
51-60,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HigherEd,Management, Husband, Male,North America
41-50,HighSchool,Clerical, Husband, Male,North America
31-40,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Transport, Own-child, Male,Haiti
60+,HighSchool,Service, Not-in-family, Female,North America
60+,HighSchool,Sales, Husband, Male,Canada
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
21-30,HigherEd,Professional, Own-child, Male,North America
60+,Associate,Clerical, Husband, Male,North America
21-30,Dropout,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Manufacturing, Unmarried, Female,North America
31-40,HighSchool,Transport, Husband, Male,North America
60+,Dropout,Management, Husband, Male,North America
31-40,12Th,Skilled Trade, Not-in-family, Male,North America
21-30,HighSchool,Manufacturing, Not-in-family, Female,North America
31-40,HighSchool,Manufacturing, Husband, Male,North America
21-30,HighSchool,Sales, Own-child, Male,North America
0-20,12Th,Skilled Trade, Own-child, Male,North America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
60+,Dropout,Professional, Husband, Male,North America
51-60,HighSchool,Protective-Serv, Husband, Male,
21-30,HighSchool,Manufacturing, Wife, Female,North America
0-20,12Th,Service, Not-in-family, Female,North America
0-20,Dropout,, Own-child, Male,North America
31-40,Associate,Manufacturing, Husband, Male,North America
51-60,HighSchool,Management, Not-in-family, Female,North America
51-60,HigherEd,Management, Not-in-family, Male,North America
31-40,HighSchool,Agriculture, Not-in-family, Male,North America
21-30,HighSchool,Service, Own-child, Female,North America
41-50,HighSchool,Manufacturing, Not-in-family, Female,North America
60+,HigherEd,Sales, Not-in-family, Female,North America
41-50,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Tech-Support, Own-child, Female,North America
31-40,Associate,Professional, Husband, Male,North America
21-30,HighSchool,Agriculture, Husband, Male,North America
51-60,Dropout,, Not-in-family, Female,North America
31-40,HighSchool,Manufacturing, Own-child, Male,North America
41-50,HighSchool,Skilled Trade, Not-in-family, Male,North America
51-60,HigherEd,, Not-in-family, Female,North America
31-40,HighSchool,Sales, Other-relative, Male,North America
21-30,HighSchool,, Own-child, Female,North America
21-30,10Th,Sales, Not-in-family, Male,El-Salvador
21-30,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HighSchool,Sales, Unmarried, Female,North America
41-50,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,Dropout,Skilled Trade, Own-child, Male,North America
0-20,HighSchool,Service, Own-child, Female,North America
21-30,HighSchool,Clerical, Not-in-family, Male,North America
31-40,HighSchool,Service, Unmarried, Female,North America
51-60,HighSchool,Service, Not-in-family, Male,North America
31-40,Associate,Clerical, Unmarried, Female,North America
41-50,HighSchool,Transport, Wife, Female,North America
21-30,HighSchool,Skilled Trade, Husband, Male,North America
31-40,Associate,Management, Unmarried, Male,North America
51-60,Dropout,Management, Husband, Male,North America
31-40,HigherEd,Professional, Not-in-family, Female,Outlying-Us(Guam-Usvi-Etc)
31-40,HighSchool,Management, Unmarried, Female,North America
21-30,HigherEd,Professional, Not-in-family, Male,North America
60+,HigherEd,Professional, Husband, Male,North America
21-30,HigherEd,Transport, Own-child, Male,North America
60+,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,Sales, Unmarried, Female,North America
21-30,12Th,, Not-in-family, Male,North America
31-40,Associate,Professional, Not-in-family, Male,North America
41-50,HighSchool,Skilled Trade, Own-child, Male,North America
21-30,Dropout,Skilled Trade, Not-in-family, Male,North America
41-50,Associate,Sales, Husband, Male,
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,HigherEd,Professional, Wife, Female,North America
21-30,HighSchool,Manual Labor, Own-child, Male,North America
51-60,Dropout,Service, Not-in-family, Female,North America
60+,HigherEd,Sales, Husband, Male,North America
21-30,HighSchool,Manufacturing, Own-child, Male,North America
41-50,HighSchool,Tech-Support, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
41-50,HigherEd,Manual Labor, Not-in-family, Male,North America
41-50,HighSchool,Tech-Support, Husband, Male,North America
21-30,HighSchool,Clerical, Other-relative, Female,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,Associate,Transport, Husband, Male,North America
31-40,HighSchool,Service, Not-in-family, Male,North America
41-50,HighSchool,Sales, Not-in-family, Male,North America
21-30,HighSchool,Service, Not-in-family, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,Vietnam
31-40,HighSchool,Agriculture, Wife, Female,North America
41-50,HigherEd,Management, Husband, Male,North America
31-40,HighSchool,Management, Husband, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
41-50,HigherEd,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Transport, Not-in-family, Male,North America
21-30,HighSchool,Service, Other-relative, Male,North America
51-60,HighSchool,Clerical, Not-in-family, Female,North America
41-50,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,, Own-child, Male,North America
60+,HighSchool,Service, Unmarried, Female,North America
31-40,HigherEd,Professional, Not-in-family, Female,North America
41-50,HighSchool,Manual Labor, Husband, Male,North America
21-30,HigherEd,Sales, Not-in-family, Female,North America
21-30,HighSchool,Sales, Own-child, Male,North America
51-60,HigherEd,Clerical, Unmarried, Male,North America
41-50,HighSchool,Professional, Unmarried, Female,North America
31-40,Associate,Manual Labor, Husband, Male,Latin America
60+,Dropout,Service, Unmarried, Female,Puerto-Rico
31-40,HighSchool,Sales, Wife, Female,North America
60+,HighSchool,Service, Husband, Male,North America
41-50,HighSchool,Manufacturing, Own-child, Female,North America
51-60,HighSchool,Manufacturing, Husband, Male,North America
31-40,HighSchool,Clerical, Other-relative, Female,Latin America
41-50,HigherEd,Manufacturing, Husband, Male,North America
60+,10Th,, Not-in-family, Female,North America
21-30,HighSchool,Sales, Not-in-family, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
31-40,12Th,Manufacturing, Husband, Male,Latin America
41-50,Associate,Management, Unmarried, Female,North America
31-40,HighSchool,Professional, Not-in-family, Male,North America
21-30,Prof-School,Professional, Not-in-family, Female,North America
41-50,HighSchool,Sales, Husband, Male,North America
41-50,HighSchool,Service, Own-child, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
21-30,HighSchool,, Own-child, Female,North America
21-30,HighSchool,Sales, Not-in-family, Female,North America
21-30,HighSchool,Agriculture, Unmarried, Male,
41-50,Dropout,Service, Husband, Male,North America
31-40,1St-4Th,Skilled Trade, Husband, Male,Cambodia
41-50,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HighSchool,Clerical, Own-child, Male,North America
31-40,HighSchool,Tech-Support, Husband, Male,North America
51-60,HighSchool,Manufacturing, Husband, Male,North America
31-40,HighSchool,Agriculture, Husband, Male,North America
51-60,HighSchool,, Not-in-family, Female,North America
21-30,HighSchool,Tech-Support, Own-child, Female,Ecuador
31-40,HigherEd,Sales, Husband, Male,North America
31-40,Prof-School,Professional, Husband, Male,North America
0-20,HighSchool,Skilled Trade, Own-child, Male,North America
41-50,HighSchool,Management, Not-in-family, Female,North America
51-60,HighSchool,, Husband, Male,Nicaragua
60+,HighSchool,Skilled Trade, Not-in-family, Female,North America
41-50,HigherEd,Clerical, Unmarried, Male,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
41-50,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,Skilled Trade, Own-child, Male,North America
31-40,HighSchool,Clerical, Husband, Male,North America
31-40,HigherEd,Management, Not-in-family, Male,North America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,Associate,Professional, Own-child, Female,North America
21-30,HigherEd,Skilled Trade, Not-in-family, Male,Latin America
60+,1St-4Th,Transport, Husband, Male,
41-50,Associate,Management, Husband, Male,North America
31-40,HighSchool,Manual Labor, Own-child, Male,North America
60+,Associate,Management, Not-in-family, Male,North America
51-60,HighSchool,Protective-Serv, Husband, Male,North America
60+,Dropout,Management, Husband, Male,North America
31-40,HigherEd,Professional, Husband, Male,Canada
21-30,HighSchool,Management, Not-in-family, Male,North America
41-50,HighSchool,Sales, Husband, Male,North America
41-50,HighSchool,Professional, Husband, Male,North America
21-30,HighSchool,Service, Unmarried, Female,North America
31-40,HigherEd,, Own-child, Male,Philippines
31-40,Prof-School,Professional, Husband, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
0-20,HighSchool,Sales, Own-child, Female,North America
31-40,HigherEd,Professional, Husband, Male,North America
51-60,HighSchool,Transport, Husband, Male,North America
51-60,HighSchool,Management, Husband, Male,North America
51-60,HighSchool,Clerical, Unmarried, Female,North America
21-30,HighSchool,Management, Unmarried, Female,North America
41-50,HighSchool,Manual Labor, Not-in-family, Female,North America
51-60,HigherEd,Management, Husband, Male,North America
21-30,HighSchool,Manual Labor, Own-child, Male,North America
31-40,HighSchool,Manufacturing, Husband, Male,North America
21-30,HighSchool,Transport, Not-in-family, Male,North America
60+,HighSchool,Professional, Wife, Female,North America
51-60,HigherEd,Professional, Husband, Male,Germany
31-40,10Th,Skilled Trade, Husband, Male,North America
51-60,HighSchool,Management, Unmarried, Male,North America
21-30,HighSchool,Skilled Trade, Own-child, Male,North America
41-50,Associate,Clerical, Not-in-family, Female,North America
21-30,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Professional, Own-child, Male,North America
21-30,Associate,Manual Labor, Husband, Male,Latin America
21-30,HighSchool,Skilled Trade, Not-in-family, Female,North America
41-50,HighSchool,Transport, Husband, Male,North America
21-30,Associate,Management, Unmarried, Female,North America
31-40,HigherEd,Sales, Husband, Male,North America
41-50,HigherEd,Sales, Husband, Male,North America
31-40,HighSchool,Manufacturing, Husband, Male,South
21-30,HighSchool,Management, Wife, Female,North America
21-30,HighSchool,, Own-child, Female,Iran
21-30,HighSchool,Manufacturing, Husband, Male,North America
21-30,HighSchool,Transport, Husband, Male,North America
21-30,HighSchool,Management, Own-child, Female,North America
31-40,10Th,Clerical, Own-child, Male,North America
31-40,HigherEd,Professional, Husband, Male,Puerto-Rico
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
60+,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,Professional, Husband, Male,North America
41-50,Dropout,Manufacturing, Wife, Female,North America
0-20,Dropout,Sales, Own-child, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
41-50,HigherEd,Management, Not-in-family, Male,Latin America
41-50,HighSchool,Manufacturing, Not-in-family, Female,North America
21-30,HighSchool,Sales, Other-relative, Female,North America
21-30,HighSchool,Manufacturing, Husband, Male,Canada
60+,HighSchool,Skilled Trade, Husband, Male,North America
51-60,HighSchool,Skilled Trade, Not-in-family, Male,North America
51-60,HighSchool,Clerical, Not-in-family, Female,North America
21-30,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HigherEd,Professional, Wife, Female,North America
31-40,HighSchool,Skilled Trade, Other-relative, Male,Latin America
31-40,HighSchool,Service, Husband, Male,North America
0-20,HighSchool,, Own-child, Male,North America
31-40,HighSchool,Professional, Not-in-family, Male,North America
21-30,Dropout,Manual Labor, Other-relative, Male,North America
0-20,12Th,Sales, Not-in-family, Female,
51-60,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Sales, Own-child, Male,North America
21-30,HighSchool,Management, Own-child, Female,North America
21-30,Dropout,Service, Unmarried, Female,North America
41-50,HighSchool,Management, Wife, Female,North America
21-30,HigherEd,Sales, Own-child, Female,North America
31-40,HighSchool,Sales, Husband, Male,Taiwan
41-50,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HigherEd,Management, Husband, Male,
0-20,HighSchool,Clerical, Own-child, Female,North America
51-60,HighSchool,Sales, Husband, Male,North America
51-60,HighSchool,Clerical, Husband, Male,North America
0-20,HighSchool,, Other-relative, Female,South
60+,HighSchool,Transport, Husband, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
21-30,Associate,Service, Own-child, Female,North America
21-30,HighSchool,, Own-child, Female,North America
51-60,HighSchool,Clerical, Not-in-family, Female,North America
31-40,Dropout,Skilled Trade, Not-in-family, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,North America
41-50,HighSchool,Clerical, Husband, Male,North America
51-60,HighSchool,Management, Unmarried, Female,North America
31-40,HigherEd,Service, Other-relative, Male,North America
51-60,Dropout,Manufacturing, Unmarried, Male,North America
51-60,HighSchool,Management, Husband, Male,North America
51-60,HighSchool,, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Unmarried, Male,North America
41-50,HighSchool,Sales, Unmarried, Female,North America
21-30,HigherEd,Skilled Trade, Husband, Male,Canada
21-30,HighSchool,Transport, Husband, Male,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
51-60,HigherEd,Clerical, Husband, Male,Latin America
60+,HighSchool,Manual Labor, Husband, Male,North America
51-60,HighSchool,Clerical, Wife, Female,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
41-50,Associate,Management, Not-in-family, Male,North America
51-60,HigherEd,Professional, Husband, Male,Iran
31-40,Associate,Tech-Support, Not-in-family, Male,North America
41-50,HighSchool,, Not-in-family, Female,North America
31-40,HighSchool,Management, Husband, Male,North America
51-60,HigherEd,, Not-in-family, Female,North America
60+,HigherEd,Professional, Husband, Male,North America
21-30,HighSchool,Sales, Not-in-family, Male,North America
41-50,Prof-School,Professional, Husband, Male,North America
41-50,Prof-School,Professional, Husband, Male,North America
31-40,HigherEd,Management, Not-in-family, Female,North America
41-50,HighSchool,Sales, Husband, Male,North America
0-20,Dropout,Manufacturing, Own-child, Male,North America
51-60,HigherEd,Management, Husband, Male,North America
41-50,HighSchool,Service, Not-in-family, Female,North America
21-30,HighSchool,Management, Own-child, Female,Yugoslavia
51-60,HighSchool,Clerical, Not-in-family, Male,North America
51-60,10Th,Skilled Trade, Not-in-family, Male,North America
21-30,HighSchool,Sales, Not-in-family, Male,North America
0-20,HighSchool,Skilled Trade, Not-in-family, Female,North America
21-30,HigherEd,Clerical, Own-child, Female,North America
21-30,HighSchool,Clerical, Wife, Female,North America
21-30,HighSchool,Sales, Other-relative, Male,North America
41-50,Dropout,Skilled Trade, Husband, Male,Italy
31-40,HigherEd,Professional, Husband, Male,Canada
31-40,HighSchool,Protective-Serv, Own-child, Male,North America
21-30,HighSchool,Agriculture, Unmarried, Male,North America
31-40,HigherEd,Professional, Not-in-family, Male,North America
21-30,HighSchool,, Unmarried, Female,North America
21-30,HighSchool,Service, Own-child, Male,North America
21-30,HighSchool,Sales, Husband, Male,
41-50,HighSchool,Clerical, Unmarried, Female,North America
60+,10Th,, Not-in-family, Male,North America
41-50,HigherEd,Management, Husband, Male,North America
51-60,HighSchool,Professional, Wife, Female,North America
